,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
0,BKN,1610612751,2018-10-29,96,115,0.405,0.289,0.773,32,10,7,0.3333333333333333,0.25,1486.381941862317,1460.8199296651485,-2,13.723226113256764,1
1,NYK,1610612752,2018-10-29,115,96,0.489,0.375,0.889,53,16,3,0.16666666666666666,0.3333333333333333,1460.8199296651485,1486.381941862317,-5,17.949191087357736,0
2,CLE,1610612739,2018-10-30,136,114,0.5,0.52,0.767,48,13,1,0.0,0.0,1433.6402759743999,1468.0792675844414,-6,15.146202806094074,1
3,ATL,1610612737,2018-10-30,114,136,0.537,0.429,0.647,39,23,8,0.3333333333333333,0.25,1468.0792675844414,1433.6402759743999,-2,13.749569325391874,0
4,MIA,1610612748,2018-10-30,113,125,0.471,0.393,0.833,34,15,5,0.5,0.5,1511.580378295842,1515.4030541061074,-1,16.845593678070298,1
5,CHA,1610612766,2018-10-30,125,113,0.543,0.464,0.828,39,14,5,0.42857142857142855,0.5,1515.4030541061074,1511.580378295842,-1,18.6503700171151,0
6,OKC,1610612760,2018-10-30,128,110,0.511,0.529,0.719,41,17,6,0.2,0.3333333333333333,1467.2189024566637,1536.2769580605836,1,13.85361893769067,1
7,LAC,1610612746,2018-10-30,110,128,0.473,0.35,0.767,38,25,7,0.6666666666666666,0.5,1536.2769580605836,1467.2189024566637,2,18.22404453135633,0
8,BKN,1610612751,2018-10-31,120,119,0.426,0.316,0.733,55,16,3,0.2857142857142857,0.5,1469.0587368102565,1498.2868977089165,-3,15.858436046783341,1
9,DET,1610612765,2018-10-31,119,120,0.419,0.324,0.769,55,17,6,0.6666666666666666,0.5,1498.2868977089165,1469.0587368102565,-2,14.60661905664107,0
10,MEM,1610612763,2018-11-02,110,100,0.507,0.5,0.618,39,11,3,0.6666666666666666,0.3333333333333333,1518.6094134036537,1526.0971663672328,2,17.043556775543436,0
11,UTA,1610612762,2018-11-02,100,110,0.468,0.389,0.56,39,14,5,0.5714285714285714,0.0,1526.0971663672328,1518.6094134036537,-1,16.4250898362864,1
12,PHI,1610612755,2018-11-03,109,99,0.406,0.31,0.863,45,18,3,0.5555555555555556,1.0,1508.5991901832263,1493.8008645304442,1,18.354381008642385,1
13,DET,1610612765,2018-11-03,99,109,0.398,0.167,0.683,44,17,3,0.5714285714285714,0.3333333333333333,1493.8008645304442,1508.5991901832263,-3,18.552448098585838,0
14,POR,1610612757,2018-11-03,110,114,0.423,0.171,0.727,50,14,5,0.75,0.75,1552.309900867707,1492.3387779288114,3,18.498109117764432,0
15,LAL,1610612747,2018-11-03,114,110,0.523,0.381,0.64,50,20,11,0.375,0.25,1492.3387779288114,1552.309900867707,1,21.256242154444312,1
16,PHX,1610612756,2018-11-04,102,100,0.516,0.438,0.846,37,25,3,0.125,0.25,1418.1144991583885,1529.2744314515935,-7,15.335802076188413,1
17,MEM,1610612763,2018-11-04,100,102,0.474,0.304,0.724,30,13,3,0.7142857142857143,0.5,1529.2744314515935,1418.1144991583885,3,15.393988073666918,0
18,LAL,1610612747,2018-11-07,114,110,0.484,0.441,0.786,47,16,4,0.4,0.4,1490.1849474693115,1458.1013342491103,-1,18.388763774678893,1
19,MIN,1610612750,2018-11-07,110,114,0.451,0.5,0.889,40,16,5,0.36363636363636365,0.0,1458.1013342491103,1490.1849474693115,-3,21.71798603463015,0
20,DAL,1610612742,2018-11-07,102,117,0.397,0.333,0.9,49,25,4,0.3,0.0,1466.6059673026798,1494.7146142022561,1,16.481033395929625,1
21,UTA,1610612762,2018-11-07,117,102,0.483,0.351,0.692,35,12,10,0.4,0.0,1494.7146142022561,1466.6059673026798,-4,18.100308644220895,0
22,NYK,1610612752,2018-11-07,112,107,0.442,0.367,0.702,48,18,7,0.2727272727272727,0.2,1463.6858836150832,1432.23315172416,-2,15.173100758039212,0
23,ATL,1610612737,2018-11-07,107,112,0.402,0.289,0.759,45,17,9,0.3,0.5,1432.23315172416,1463.6858836150832,-1,15.564480999632236,1
24,PHI,1610612755,2018-11-09,133,132,0.479,0.324,0.756,59,17,15,0.5833333333333334,1.0,1503.9598585548363,1543.9061713680226,1,18.14706723578565,1
25,CHA,1610612766,2018-11-09,132,133,0.391,0.4,0.75,49,7,5,0.5454545454545454,0.4,1543.9061713680226,1503.9598585548363,2,19.442835066031463,0
26,BKN,1610612751,2018-11-10,100,116,0.468,0.292,0.724,41,15,2,0.5,0.42857142857142855,1506.748727654145,1584.985027185627,3,16.244826675738704,1
27,GSW,1610612744,2018-11-10,116,100,0.554,0.438,0.81,36,10,7,0.8333333333333334,0.8571428571428571,1584.985027185627,1506.748727654145,-1,17.398357202589185,0
28,WAS,1610612764,2018-11-10,116,110,0.482,0.364,0.737,48,16,5,0.18181818181818182,0.14285714285714285,1419.4685696738024,1498.3298343310519,-2,16.716007948297666,0
29,MIA,1610612748,2018-11-10,110,116,0.443,0.364,0.769,38,19,5,0.45454545454545453,0.5,1498.3298343310519,1419.4685696738024,-1,15.261472984977383,1
30,IND,1610612754,2018-11-11,103,115,0.462,0.379,0.769,35,13,6,0.6153846153846154,0.7142857142857143,1529.1023988197394,1457.413567580624,1,17.433392259257854,1
31,HOU,1610612745,2018-11-11,115,103,0.486,0.426,0.719,38,17,5,0.36363636363636365,0.0,1457.413567580624,1529.1023988197394,-2,14.898871693978151,0
32,CHI,1610612741,2018-11-12,98,103,0.393,0.242,0.909,45,17,3,0.3076923076923077,0.2857142857142857,1441.85689685193,1472.180577342977,1,16.436546410992744,0
33,DAL,1610612742,2018-11-12,103,98,0.468,0.303,0.655,49,20,7,0.3333333333333333,0.0,1472.180577342977,1441.85689685193,1,14.830331352359725,1
34,WAS,1610612764,2018-11-12,117,109,0.506,0.394,0.727,41,12,7,0.25,0.25,1429.5638469861597,1474.7893539145375,1,17.659385760517516,1
35,ORL,1610612753,2018-11-12,109,117,0.483,0.5,0.727,34,13,6,0.46153846153846156,0.6,1474.7893539145375,1429.5638469861597,2,17.530315039725135,0
36,UTA,1610612762,2018-11-12,96,88,0.39,0.281,0.767,49,15,6,0.5,0.6666666666666666,1516.7514714052484,1525.2359753186445,2,18.739521782169245,0
37,MEM,1610612763,2018-11-12,88,96,0.418,0.167,0.783,42,16,9,0.6363636363636364,1.0,1525.2359753186445,1516.7514714052484,2,16.34343426450138,1
38,PHX,1610612756,2018-11-12,101,118,0.481,0.269,0.842,37,18,5,0.16666666666666666,0.0,1394.211933024371,1517.5627218168738,-3,15.442834737310397,1
39,OKC,1610612760,2018-11-12,118,101,0.467,0.481,0.95,42,14,6,0.5833333333333334,0.6666666666666666,1517.5627218168738,1394.211933024371,-1,17.32471776461957,0
